|        objname |           ra |          dec |   ra_deg |  dec_deg | distance | maxaxis | minaxis | num_transients | priority |                                                                                                                                                                                                                                                                                                                                                                                                            transients |
|        NGC7753 | 23:47:04.800 | +29:29:00.10 |   356.77 |  29.4834 |     35.4 |   210.0 |   108.0 |              7 |      1.0 |                                                                                                                                                                                                                                                                                                                             ['SN 2025kyg', 'AT 2019oek', 'SN 2016fip', 'SN 2015ae', 'SN 2013Q', 'SN 2006ch', '2006A'] |
|            M83 | 13:37:00.912 | -29:51:56.70 | 204.2538 | -29.8658 |      4.5 |    12.2 |     9.4 |              7 |      1.0 |                                                                                                                                                                                                                                                                                                                                               ['AT 2018eoq', 'SN 1983N', '1968L', '1957D', '1950B', '1945B', '1923A'] |
|        NGC5427 | 14:03:26.000 | -06:01:51.00 | 210.8583 |  -6.0308 |     33.8 |     2.4 |     2.1 |              6 |      1.0 |                                                                                                                                                                                                                                                                                                                                          ['AT 2025vmg', 'SN 2021pfs', 'AT 2019ikf', 'SN 2009mz', 'SN 1991B', '1976D'] |
|        NGC6951 | 20:37:14.088 | +66:06:20.30 | 309.3087 |  66.1056 |     24.0 |     3.0 |     1.9 |              6 |      1.0 |                                                                                                                                                                                                                                                                                                                                       ['SN 2021sjt', 'SN 2020dpw', 'AT 2016ejj', 'SN 2015G', 'SN 2000E', 'SN 1999el'] |
|        NGC7769 | 23:51:04.008 | +20:09:01.51 | 357.7667 |  20.1504 |     61.0 |     1.6 |     1.3 |              6 |      1.0 |                                                                                                                                                                                                                                                                                                                                 ['SN 2022aedu', 'SN 2022mxv', 'SN 2021aexi', 'AT 2019ijz', 'SN 2019iex', 'SN 2003hg'] |
|        NGC5033 | 13:13:27.400 | +36:35:38.00 | 198.3642 |  36.5939 |     19.6 |     3.8 |     1.7 |              6 |      1.0 |                                                                                                                                                                                                                                                                                                                                          ['SN 2025mvn', 'AT 2021sqk', 'AT 2019wur', 'SN 2001gd', 'SN 1985L', '1950C'] |
|            M99 | 12:18:49.608 | +14:24:59.40 | 184.7067 |  14.4165 |     17.0 |     4.5 |     4.3 |              6 |      1.0 |                                                                                                                                                                                                                                                                                                                                                ['AT 2025agt', 'AT 2017blm', 'SN 2014L', 'SN 1986I', '1972Q', '1967H'] |
|        NGC0895 | 02:21:36.499 | -05:31:17.00 |  35.4021 |  -5.5214 |     31.0 |     2.6 |     1.7 |              6 |      1.0 |                                                                                                                                                                                                                                                                                                                                    ['AT 2024zt', 'AT 2022aun', 'AT 2021aard', 'AT 2016emg', 'AT 2015ep', 'SN 2003id'] |
|        NGC1084 | 02:45:59.899 | -07:34:43.10 |  41.4996 |  -7.5786 |     19.0 |     2.7 |     1.6 |              6 |      1.0 |                                                                                                                                                                                                                                                                                                                                             ['SN 2012ec', 'SN 2009H', 'SN 2008al', 'SN 1998dl', 'SN 1996an', '1963P'] |
|        NGC4038 | 12:01:52.992 | -18:52:09.91 | 180.4708 | -18.8694 |     22.0 |     8.0 |     8.0 |              5 |      1.0 |                                                                                                                                                                                                                                                                                                                                                             ['SN 2013dk', 'SN 2007sr', 'SN 2004gt', '1974E', '1921A'] |
|        NGC0753 | 01:57:42.188 | +35:54:58.14 |  29.4258 |  35.9161 |     45.9 |   198.0 |   126.0 |              5 |      1.0 |                                                                                                                                                                                                                                                                                                                                                     ['AT 2025pkz', 'SN 2025mbr', 'AT 2024uzh', 'AT 2018ddf', '1954E'] |
|        NGC1961 | 05:42:04.800 | +69:22:43.28 |    85.52 |  69.3787 |     60.0 |     3.4 |     2.3 |              5 |      1.0 |                                                                                                                                                                                                                                                                                                                                                    ['SN 2021vaz', 'SN 2013cc', 'SN 2001is', 'SN 2001ez', 'SN 1998eb'] |
|        NGC2146 | 06:18:37.710 | +78:21:25.26 |  94.6571 |   78.357 |     13.7 |   354.0 |   294.0 |              5 |      1.0 |                                                                                                                                                                                                                                                                                                                                                  ['SN 2024abfl', 'AT 2018iyu', 'AT 2018hvo', 'SN 2018zd', 'SN 2005V'] |
|        NGC1285 | 03:17:53.400 | -07:17:52.10 |  49.4725 |  -7.2978 |     73.0 |     1.2 |     0.9 |              5 |      1.0 |                                                                                                                                                                                                                                                                                                                                                   ['AT 2021far', 'SN 2019knu', 'SN 2017fvf', 'SN 2013el', 'SN 2004F'] |
|        NGC7678 | 23:28:27.840 | +22:25:14.27 |  352.116 |  22.4206 |     47.0 |   150.0 |   108.0 |              5 |      1.0 |                                                                                                                                                                                                                                                                                                                                                   ['SN 2021qvr', 'AT 2016eve', 'SN 2009ga', 'SN 2002dp', 'SN 1997dc'] |
|        NGC4653 | 12:43:50.916 | -00:33:40.54 | 190.9621 |  -0.5613 |     39.0 |     1.8 |     1.4 |              5 |      1.0 |                                                                                                                                                                                                                                                                                                                                                  ['SN 2025mqc', 'AT 2021rca', 'AT 2021coc', 'SN 2009ik', 'SN 1999gk'] |
|        NGC1365 | 03:33:36.401 | -36:08:25.51 |  53.4017 | -36.1404 |     20.0 |     5.4 |     4.1 |              5 |      1.0 |                                                                                                                                                                                                                                                                                                                                                        ['AT 2021agje', 'SN 2012fr', 'SN 2001du', 'SN 1983V', '1957C'] |
|        NGC0474 | 01:20:06.696 | +03:24:54.97 |  20.0279 |   3.4153 |     29.1 |   600.0 |   540.0 |              5 |      1.0 |                                                                                                                                                                                                                                                                                                                                                   ['AT 2024ahwx', 'AT 2023abil', 'SN 2021yab', 'SN 2017fgc', '1966H'] |
|        NGC7083 | 21:35:44.592 | -63:54:09.79 | 323.9358 | -63.9027 |     34.0 |     3.9 |     2.3 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                    ['AT 2022odv', 'SN 2019qar', 'SN 2009hm', '1983Y'] |
|        NGC6907 | 20:25:06.643 | -24:48:33.53 | 306.2777 | -24.8093 |     32.8 |   180.0 |   150.0 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                      ['SN 2014eh', 'SN 2008fq', 'SN 2004bv', '1984V'] |
|        NGC5668 | 14:33:24.300 | +04:27:01.19 | 218.3512 |   4.4503 |     25.0 |     3.3 |     3.0 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                       ['AT 2020akl', 'SN 2004G', 'SN 1954B', '1952G'] |
|        NGC4490 | 12:30:36.408 | +41:38:37.10 | 187.6517 |  41.6436 |     11.0 |     5.3 |     2.3 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                      ['AT 2011kp', 'SN 2008ic', 'SN 2008ax', '1982F'] |
|        NGC4051 | 12:03:09.600 | +44:31:52.36 |   180.79 |  44.5312 |     14.1 |   360.0 |   300.0 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                     ['AT 2018ctz', 'SN 2010br', 'SN 2003ie', '1983I'] |
|       UGC05886 | 10:46:51.504 | -01:23:29.40 | 161.7146 |  -1.3915 |    162.0 |     0.8 |     0.5 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                 ['AT 2024tlg', 'SN 2024hw', 'SN 2013bw', 'AT 2000gp'] |
|        NGC3310 | 10:38:45.857 | +53:30:11.89 | 159.6911 |  53.5033 |     11.6 |   228.0 |   210.0 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                     ['AT 2023wgz', 'SN 2021gmj', 'SN 1991N', '1974C'] |
|       UGC06697 | 11:43:49.104 | +19:58:06.20 | 175.9546 |  19.9684 |     91.0 |     1.4 |     0.3 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                ['AT 2024aghh', 'AT 2019lwb', 'SN 2006oq', 'SN 1986C'] |
|        NGC4108 | 12:06:44.592 | +67:09:47.48 | 181.6858 |  67.1632 |     40.0 |     1.1 |     1.0 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                              ['SN 2021jag', 'AT 2019dko', 'AT 2018mjf', 'AT 2017ixt'] |
|        NGC3646 | 11:21:43.092 | +20:10:11.10 | 170.4295 |  20.1698 |     44.0 |     3.9 |     2.2 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                               ['SN 2021abqs', 'SN 2020abqw', 'SN 1999cd', 'SN 1989N'] |
|        NGC2935 | 09:36:44.854 | -21:07:41.16 | 144.1869 | -21.1281 |     29.5 |   192.0 |   144.0 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                    ['SN 2021aczp', 'SN 2021mwj', 'SN 1996Z', '1975F'] |
|        NGC0936 | 02:27:37.368 | -01:09:21.38 |  36.9057 |  -1.1559 |     19.9 |   336.0 |   270.0 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                               ['SN 2022yhl', 'SN 2020afo', 'AT 2016gwa', 'SN 2003gs'] |
|    ESO540-G025 | 00:47:37.901 | -20:31:10.20 |  11.9079 | -20.5195 |     89.0 |     0.6 |     0.5 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                             ['AT 2024ahxi', 'SN 2021vtq', 'SN 2021qzp', 'AT 2020vze'] |
|            M74 | 01:36:41.772 | +15:47:00.46 |   24.174 |  15.7835 |     10.1 |   720.0 |   720.0 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                 ['AT 2019krl', 'SN 2013ej', 'SN 2003gd', 'SN 2002ap'] |
|        NGC0772 | 01:59:19.601 | +19:00:27.11 |  29.8317 |  19.0075 |     36.0 |     4.8 |     3.8 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                ['SN 2022qze', 'AT 2020uex', 'SN 2003iq', 'SN 2003hl'] |
|        NGC1316 | 03:22:41.789 | -37:12:29.52 |  50.6741 | -37.2082 |     18.1 |   420.0 |   420.0 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                       ['SN 2006mr', 'SN 2006dd', '1981D', 'SN 1980N'] |
|        NGC1097 | 02:46:19.099 | -30:16:29.71 |  41.5796 | -30.2749 |     15.0 |     6.0 |     3.3 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                  ['SN 2023rve', 'SN 2003B', 'SN 1999eu', 'SN 1992bd'] |
|        NGC7674 | 23:27:56.688 | +08:46:44.50 | 351.9862 |    8.779 |    124.0 |     0.9 |     0.8 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                  ['SN 2022mhe', 'SN 2011hb', 'SN 2011ee', 'SN 2000A'] |
|        NGC7469 | 23:03:15.600 | +08:52:26.40 |  345.815 |    8.874 |     71.0 |     0.9 |     0.6 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                    ['AT 2017glg', 'SN 2011io', 'SN 2008ec', '2000ft'] |
|        NGC4699 | 12:49:02.186 | -08:39:51.49 | 192.2591 |  -8.6643 |     16.6 |   198.0 |   138.0 |              4 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                        ['SN 2024muv', 'AT 2024hce', '1983K', '1948A'] |
|        NGC4651 | 12:43:42.627 | +16:23:36.23 | 190.9276 |  16.3934 |     21.3 |   228.0 |   150.0 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                               ['AT 2021ljx', 'SN 2006my', 'SN 1987K'] |
|        IC 0983 | 14:10:04.320 | +17:44:01.39 |  212.518 |  17.7337 |      9.8 |   360.0 |   330.0 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                              ['AT 2017iru', 'SN 2016ccm', 'SN 2005I'] |
|       UGC10153 | 16:03:19.512 | +20:38:12.80 | 240.8313 |  20.6369 |    178.0 |     0.9 |     0.6 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                           ['AT 2023hjv', 'AT 2021ahuq', 'AT 2021zqy'] |
|        NGC6384 | 17:32:24.240 | +07:03:37.12 |  263.101 |   7.0603 |     16.8 |   420.0 |   276.0 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                              ['SN 2024pxl', 'SN 2017drh', 'SN 1971L'] |
|        NGC0521 | 01:24:33.816 | +01:43:52.50 |  21.1409 |   1.7312 |     35.4 |   228.0 |   216.0 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2006G', '1982O', '1966G'] |
|        NGC0099 | 00:23:59.400 | +15:46:13.51 |   5.9975 |  15.7704 |     77.0 |     0.8 |     0.7 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                            ['AT 2024szi', 'AT 2023pdm', 'AT 2023okg'] |
