|        objname |           ra |          dec |   ra_deg |  dec_deg | distance | maxaxis | minaxis | num_transients | priority |                                                                                                                                                                                                                                                                                                                                                                                                            transients |
|        NGC5850 | 15:07:07.644 | +01:32:40.74 | 226.7818 |   1.5446 |     38.0 |     4.3 |     3.7 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                               ['AT 2024ogc', '1987B'] |
|        NGC5962 | 15:36:31.644 | +16:36:28.41 | 234.1319 |  16.6079 |     28.4 |   168.0 |   120.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                          ['SN 2017ivu', 'SN 2016afa'] |
|        NGC6744 | 19:09:45.900 | -63:51:27.72 | 287.4412 | -63.8577 |      9.3 |    20.0 |    12.9 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['SN 2024vjm', 'SN 2005at'] |
|         IC1222 | 16:35:09.096 | +46:12:51.01 | 248.7879 |  46.2142 |    136.0 |     1.4 |     0.6 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['SN 2020enm', 'SN 2001dq'] |
|        NGC0488 | 01:21:46.836 | +05:15:24.48 |  20.4451 |   5.2568 |     38.0 |     5.2 |     3.9 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                                ['SN 2010eb', '1976G'] |
|        NGC0214 | 00:41:28.020 | +25:29:57.62 |  10.3667 |  25.4993 |     45.7 |   132.0 |   102.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                            ['SN 2006ep', 'SN 2005db'] |
|       PGC00282 | 00:04:01.500 | -11:10:27.30 |   1.0062 | -11.1742 |    161.0 |     0.7 |     0.6 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['AT 2021ssf', 'SN 2008hj'] |
|        NGC0514 | 01:24:03.900 | +12:55:02.60 |  21.0162 |  12.9174 |     36.0 |     2.7 |     1.8 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                          ['SN 2020uxz', 'AT 2016gmi'] |
|         IC0043 | 00:42:22.065 | +29:38:29.81 |  10.5919 |  29.6416 |     32.1 |   132.0 |   126.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                                ['SN 2015ag', '1973U'] |
|        NGC1672 | 04:45:42.502 | -59:14:50.21 |  71.4271 | -59.2473 |     15.0 |     4.7 |     3.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                          ['SN 2022aau', 'SN 2017gax'] |
|        NGC2268 | 07:14:17.441 | +84:22:56.18 | 108.5727 |  84.3823 |     26.1 |   222.0 |   150.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                            ['SN 2021aai', 'SN 1982B'] |
|        NGC0706 | 01:51:50.501 | +06:17:48.80 |  27.9604 |   6.2969 |     71.0 |     1.6 |     1.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                          ['AT 2022acfs', 'SN 2001ed'] |
|        NGC1072 | 02:43:31.301 | +00:18:24.60 |  40.8804 |   0.3068 |    114.0 |     1.1 |     0.5 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['AT 2022abaj', 'SN 2004I'] |
|        NGC1309 | 03:22:06.600 | -15:24:00.07 |  50.5275 |    -15.4 |     29.0 |     2.2 |     2.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                             ['SN 2012Z', 'SN 2002fk'] |
|       PGC10794 | 02:50:44.201 | -06:44:45.30 |  42.6842 |  -6.7459 |     98.0 |     0.9 |     0.5 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['AT 2021oj', 'AT 2019scc'] |
|        NGC1398 | 03:38:52.130 | -26:20:16.22 |  54.7172 | -26.3378 |     19.2 |   360.0 |   270.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                             ['SN 2025zi', 'SN 1996N'] |
|       UGC02855 | 03:48:20.736 | +70:07:58.30 |  57.0864 |  70.1329 |     14.0 |     4.4 |     2.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['SN 2022oey', 'SN 2014dg'] |
|         ARP256 | 00:18:50.900 | -10:22:36.59 |   4.7121 | -10.3768 |    115.0 |     2.0 |     1.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['AT 2025qek', 'SN 2010hp'] |
|       UGC02010 | 02:32:07.099 | -01:21:43.70 |  38.0296 |  -1.3621 |    160.0 |     0.8 |     0.7 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                         ['AT 2023achh', 'AT 2020btt'] |
|        NGC3261 | 10:29:01.480 | -44:39:24.48 | 157.2562 | -44.6568 |     33.4 |   138.0 |   138.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                             ['SN 2008fw', 'SN 1997Z'] |
|        NGC2336 | 07:27:04.068 | +80:10:41.02 |  111.767 |  80.1781 |     29.0 |     7.1 |     3.9 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                            ['AT 2020ddy', 'SN 1987L'] |
|        NGC2444 | 07:46:53.047 | +39:01:54.97 |  116.721 |  39.0319 |     45.5 |   180.0 |   138.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['AT 2017oe', 'SN 2016bam'] |
|        NGC2857 | 09:24:37.704 | +49:21:25.42 | 141.1571 |  49.3571 |     73.0 |     1.9 |     1.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['SN 2020unm', 'SN 2012fg'] |
|        NGC2782 | 09:14:05.112 | +40:06:49.21 | 138.5213 |  40.1137 |     39.0 |     1.7 |     1.4 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['SN 2020scc', 'SN 1994ak'] |
|        NGC2916 | 09:34:57.600 | +21:42:18.90 |   143.74 |  21.7052 |     54.0 |     2.2 |     1.2 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['AT 2016bgr', 'SN 1998ar'] |
|        NGC2986 | 09:44:16.044 | -21:16:41.84 | 146.0668 | -21.2783 |     33.3 |   180.0 |   180.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                            ['SN 2025gj', 'SN 1999gh'] |
|        NGC3227 | 10:23:30.720 | +19:51:53.93 |  155.878 |   19.865 |     15.0 |   390.0 |   270.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                                 ['SN 1983U', '1976K'] |
|        NGC3166 | 10:13:45.840 | +03:25:29.53 |  153.441 |   3.4249 |     22.0 |   300.0 |   168.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['AT 2025jce', 'SN 2012cw'] |
|        NGC3377 | 10:47:42.400 | +13:59:08.30 | 161.9267 |  13.9856 |     11.0 |   240.0 |   150.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                          ['AT 2025fpv', 'AT 2024hpd'] |
|        NGC3861 | 11:45:03.912 | +19:58:25.10 | 176.2663 |  19.9736 |     91.0 |     1.0 |     0.7 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['AT 2022pjj', 'SN 2014aa'] |
|        NGC4030 | 12:00:23.592 | -01:06:00.00 | 180.0983 |     -1.1 |     21.0 |     2.7 |     2.4 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                            ['AT 2016jb', 'SN 2007aa'] |
|        NGC3662 | 11:23:46.704 | -01:06:09.00 | 170.9446 |  -1.1025 |     80.0 |     1.4 |     1.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['AT 2017kfl', 'SN 2015bd'] |
|            M84 | 12:25:03.779 | +12:53:13.06 | 186.2657 |   12.887 |     16.5 |   300.0 |   240.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                             ['SN 1991bg', 'SN 1957B'] |
|        NGC3169 | 10:14:14.880 | +03:27:59.15 |  153.562 |   3.4664 |     19.9 |   330.0 |   180.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                             ['SN 2003cg', 'SN 1984E'] |
|            M85 | 12:25:24.000 | +18:11:26.74 |   186.35 |  18.1908 |     15.6 |   444.0 |   330.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                            ['SN 2020nlb', 'SN 1960R'] |
|            M86 | 12:26:11.810 | +12:56:45.50 | 186.5492 |   12.946 |     15.9 |    11.5 |     8.3 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                               ['AT 2024gix', '1980I'] |
|        NGC2681 | 08:53:32.739 | +51:18:49.35 | 133.3864 |  51.3137 |     16.4 |   228.0 |   228.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                          ['AT 2020afe', 'AT 2018irv'] |
|        NGC0783 | 02:01:06.600 | +31:52:56.89 |  30.2775 |  31.8825 |     76.0 |     1.7 |     1.4 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['AT 2017hdz', 'SN 2004fz'] |
|        NGC7645 | 23:23:47.304 | -29:23:16.91 | 350.9471 |  -29.388 |     97.0 |     1.2 |     0.9 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                            ['2010kx'] |
|        NGC7673 | 23:27:41.112 | +23:35:20.22 | 351.9213 |   23.589 |     50.0 |     0.9 |     0.6 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2014ce'] |
|        NGC7377 | 22:47:47.505 | -22:18:43.46 | 341.9479 | -22.3121 |     27.5 |   252.0 |   216.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2004db'] |
|        IC 5267 | 22:57:13.572 | -43:23:46.11 | 344.3065 | -43.3961 |     17.2 |   180.0 |   150.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2011hs'] |
|        NGC7213 | 22:09:16.260 | -47:09:59.95 | 332.3177 | -47.1667 |     22.0 |   150.0 |   150.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2024qdm'] |
|        NGC7343 | 22:38:37.896 | +34:04:17.22 | 339.6579 |  34.0715 |    109.0 |     1.0 |     0.6 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                          ['SN 1974J'] |
|        NGC6942 | 20:40:37.866 | -54:18:11.10 | 310.1578 | -54.3031 |     35.9 |   132.0 |    96.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2016fej'] |
|       PGC65328 | 20:45:41.208 | -04:57:00.40 | 311.4217 |  -4.9501 |    123.0 |     1.0 |     0.5 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2002df'] |
| ESO 107- G 004 | 21:03:29.582 | -67:10:52.89 | 315.8733 | -67.1814 |     36.0 |   132.0 |    96.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2008cc'] |
|        NGC7755 | 23:47:51.768 | -30:31:19.53 | 356.9657 | -30.5221 |     27.5 |   216.0 |   180.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2004cx'] |
|        NGC7727 | 23:39:53.870 | -12:17:34.84 | 354.9745 |  -12.293 |     26.8 |   180.0 |   180.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                       ['AT 2020abdx'] |
|       UGC12134 | 22:39:37.488 | +11:46:11.60 | 339.9062 |  11.7699 |    106.0 |     1.2 |     0.7 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2006ea'] |
|        NGC5383 | 13:57:04.980 | +41:50:45.60 | 209.2708 |   41.846 |     28.7 |   210.0 |   144.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                            ['2005cc'] |
|        NGC5378 | 13:56:51.013 | +37:47:49.48 | 209.2126 |  37.7971 |     43.2 |   132.0 |   102.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 1991ak'] |
|      IRAS15250 | 15:26:59.400 | +35:58:37.52 | 231.7475 |  35.9771 |    239.0 |     0.2 |     0.2 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2019nap'] |
|       UGC09953 | 15:39:39.408 | +03:11:56.50 | 234.9142 |    3.199 |    146.0 |     1.0 |     0.5 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2022poy'] |
|        NGC6070 | 16:09:58.680 | +00:42:34.31 | 242.4945 |   0.7095 |     27.0 |     3.5 |     1.9 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2010dy'] |
|        NGC6052 | 16:05:12.912 | +20:32:31.99 | 241.3038 |  20.5422 |     70.0 |     0.9 |     0.6 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                            ['1982aa'] |
|    ESO182-G010 | 18:18:30.600 | -54:41:39.41 | 274.6275 | -54.6943 |     49.0 |     1.9 |     1.4 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2006ci'] |
|       UGC10651 | 16:59:44.088 | +42:32:22.38 | 254.9337 |  42.5396 |    121.0 |     1.0 |     0.9 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2021huy'] |
|         Mrk501 | 16:53:52.200 | +39:45:36.61 | 253.4675 |  39.7602 |    148.0 |     0.9 |     0.8 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2018ctk'] |
|       UGC10420 | 16:29:51.000 | +39:45:59.40 | 247.4625 |  39.7665 |    138.0 |     0.7 |     0.4 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 1997cq'] |
|        NGC5614 | 14:24:07.591 | +34:51:32.02 | 216.0316 |  34.8589 |     36.5 |   168.0 |   132.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2016jkh'] |
|         IC1063 | 14:52:10.992 | +04:40:55.40 | 223.0458 |   4.6821 |    201.0 |     0.9 |     0.6 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2023oku'] |
|        NGC5898 | 15:18:13.554 | -24:05:52.66 | 229.5565 |  -24.098 |     28.9 |   180.0 |   180.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2023mkt'] |
|        NGC7125 | 21:49:15.945 | -60:42:47.42 | 327.3164 | -60.7132 |     49.6 |   210.0 |   156.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2012du'] |
|        NGC6902 | 20:24:28.104 | -43:39:12.71 | 306.1171 | -43.6535 |     38.0 |     2.5 |     1.9 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2024uwq'] |
|        NGC6893 | 20:20:49.680 | -48:14:21.59 |  305.207 | -48.2393 |     33.3 |   180.0 |   150.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2022fpo'] |
|       NGC6845A | 20:00:58.392 | -47:04:12.90 | 300.2433 | -47.0702 |     90.0 |     3.6 |     1.6 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2008da'] |
|        NGC6814 | 19:42:40.608 | -10:19:25.32 | 295.6692 | -10.3237 |     23.0 |     3.0 |     2.8 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2019fpe'] |
|            M87 | 12:30:49.420 | +12:23:28.00 | 187.7059 |  12.3911 |     16.4 |     7.1 |     6.6 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                             ['1919A'] |
|            M90 | 12:36:49.820 | +13:09:46.30 | 189.2076 |  13.1629 |     12.3 |     9.5 |     4.4 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2021dgs'] |
|        NGC4589 | 12:37:25.034 | +74:11:30.79 | 189.3543 |  74.1919 |     23.9 |   180.0 |   156.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2005cz'] |
|        NGC4593 | 12:39:39.492 | -05:20:39.16 | 189.9146 |  -5.3442 |     42.0 |   180.0 |   108.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2018ktg'] |
|        NGC4754 | 12:52:17.563 | +11:18:49.18 | 193.0732 |  11.3137 |     15.9 |   270.0 |   150.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2025fqb'] |
|        NGC4696 | 12:48:49.440 | -41:18:39.85 |  192.206 | -41.3111 |     37.1 |   180.0 |   150.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2017ejb'] |
|    ESO269-G057 | 13:10:04.428 | -46:26:14.40 | 197.5184 | -46.4373 |     42.1 |   252.0 |   180.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                          ['SN 1992K'] |
|        NGC4993 | 13:09:47.710 | -23:23:01.80 | 197.4488 | -23.3838 |     99.0 |     9.9 |     9.9 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2017gfo'] |
|        NGC5078 | 13:19:50.024 | -27:24:36.30 | 199.9584 | -27.4101 |     31.3 |   138.0 |    84.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                            ['1999cz'] |
|        NGC5230 | 13:35:31.890 | +13:40:34.44 | 203.8829 |  13.6762 |     20.7 |   126.0 |   108.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                             ['1970P'] |
|        IC 4296 | 13:36:39.053 | -33:57:57.30 | 204.1627 | -33.9659 |     48.3 |   180.0 |   180.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2017dps'] |
|       UGC09140 | 14:17:21.096 | +01:07:52.40 | 214.3379 |   1.1312 |    231.0 |     0.5 |     0.2 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2025oln'] |
|    ESO384-G053 | 14:06:35.478 | -34:18:41.55 | 211.6478 | -34.3115 |     18.6 |   126.0 |   108.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2018ecf'] |
|    ESO221-G032 | 14:12:09.137 | -49:23:22.23 | 213.0381 | -49.3895 |     38.5 |   144.0 |   132.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2010bp'] |
|        NGC2629 | 08:47:15.857 | +72:59:08.25 | 131.8161 |  72.9856 |     37.3 |   138.0 |   108.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2018mou'] |
|        NGC2865 | 09:23:30.205 | -23:09:41.37 | 140.8759 | -23.1615 |     23.3 |   180.0 |   168.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2016gwl'] |
|        NGC4125 | 12:08:06.017 | +65:10:26.88 | 182.0251 |  65.1741 |     20.6 |   360.0 |   300.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2016coj'] |
|        NGC4168 | 12:12:17.234 | +13:12:19.27 | 183.0718 |  13.2054 |     22.2 |   168.0 |   150.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                          ['SN 1971G'] |
|            M98 | 12:13:48.290 | +14:54:01.70 | 183.4512 |  14.9005 |     15.4 |    11.0 |     2.6 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2024exw'] |
|        NGC4261 | 12:19:23.262 | +05:49:28.96 | 184.8469 |   5.8247 |     29.4 |   210.0 |   180.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                          ['SN 2001A'] |
|        NGC4332 | 12:22:46.820 | +65:50:37.31 | 185.6951 |  65.8437 |     40.0 |   144.0 |   102.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2009an'] |
|        NGC4386 | 12:24:28.319 | +75:31:44.01 |  186.118 |  75.5289 |     26.7 |   168.0 |   102.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2014bv'] |
|           M049 | 12:29:46.798 | +08:00:01.48 |  187.445 |   8.0004 |     15.7 |   480.0 |   420.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                             ['1969Q'] |
|        NGC2950 | 09:42:35.116 | +58:51:04.39 | 145.6463 |  58.8512 |     16.2 |   198.0 |   138.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2019wnw'] |
|        NGC3183 | 10:21:48.995 | +74:10:36.82 | 155.4541 |  74.1769 |     28.1 |   144.0 |    78.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                       ['SN 2024afbe'] |
|       UGC05715 | 10:31:35.208 | +00:28:31.40 | 157.8967 |   0.4754 |    122.0 |     1.0 |     0.6 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['AT 2022kk'] |
|        NGC3078 | 09:58:24.480 | -26:55:34.00 |  149.602 | -26.9261 |     33.1 |   144.0 |   120.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2022qqo'] |
|            M95 | 10:43:57.733 | +11:42:13.00 | 160.9906 |  11.7036 |      9.7 |   510.0 |   300.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2012aw'] |
|        NGC3923 | 11:51:01.783 | -28:48:22.36 | 177.7574 | -28.8062 |     21.2 |   300.0 |   210.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2018aoz'] |
|        NGC3665 | 11:24:43.680 | +38:45:46.01 |  171.182 |  38.7628 |     22.3 |   210.0 |   180.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2002hl'] |
|        NGC3557 | 11:09:57.653 | -37:32:21.02 | 167.4902 | -37.5392 |     32.8 |   180.0 |   150.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2023bpx'] |
|         IC0671 | 11:07:31.608 | +00:46:59.20 | 166.8817 |   0.7831 |    169.0 |     1.5 |     1.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2017jev'] |
|       UGC04056 | 07:51:35.592 | +42:52:48.29 | 117.8983 |  42.8801 |    140.0 |     0.9 |     0.5 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2018lsi'] |
|         IC2367 | 08:24:10.089 | -18:46:31.88 |  126.042 | -18.7755 |     26.9 |   150.0 |   120.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2015an'] |
|        UGCA137 | 08:17:43.270 | -30:07:50.12 | 124.4303 | -30.1306 |     23.3 |   270.0 |   240.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2014do'] |
|        NGC2523 | 08:15:00.072 | +73:34:44.25 | 123.7503 |   73.579 |     38.9 |   180.0 |   132.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                       ['SN 2024aeee'] |
|        NGC2775 | 09:10:20.100 | +07:02:17.23 | 137.5837 |   7.0381 |     43.0 |     4.3 |     3.3 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                          ['SN 1993Z'] |
|        NGC1201 | 03:04:08.040 | -26:04:10.78 |  46.0335 | -26.0697 |     19.8 |   216.0 |   132.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2003hv'] |
|        NGC1417 | 03:41:57.422 | -04:42:17.49 |  55.4893 |  -4.7049 |     39.9 |   144.0 |    84.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2010it'] |
|        NGC1350 | 03:31:08.119 | -33:37:43.10 |  52.7838 | -33.6286 |     18.5 |   270.0 |   180.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                             ['1959A'] |
|        NGC1380 | 03:36:27.590 | -34:58:34.68 |   54.115 | -34.9763 |     20.3 |   300.0 |   240.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                          ['SN 1992A'] |
|        NGC2273 | 06:50:08.880 | +60:50:45.96 |  102.537 |  60.8461 |     28.4 |   216.0 |   144.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2020ahg'] |
|     AM0644-741 | 06:43:04.392 | -74:14:31.42 | 100.7683 | -74.2421 |     94.0 |     1.5 |     1.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                       ['SN 2020aakp'] |
|        NGC2223 | 06:24:35.885 | -22:50:17.70 |  96.1495 | -22.8382 |     17.6 |   180.0 |   180.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                          ['SN 1993K'] |
|        NGC1784 | 05:05:27.118 | -11:52:17.12 |   76.363 | -11.8714 |     15.0 |     1.8 |     1.1 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2022xkq'] |
|         IC0356 | 04:07:46.908 | +69:48:44.75 |  61.9454 |  69.8124 |     17.6 |   300.0 |   270.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2023sbv'] |
|         IC0334 | 03:45:17.088 | +76:38:18.06 |  56.3212 |  76.6384 |     37.3 |   360.0 |   360.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2008hy'] |
|        NGC1433 | 03:42:01.553 | -47:13:19.49 |  55.5065 | -47.2221 |      9.0 |   480.0 |   480.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                          ['SN 1985P'] |
|        NGC2217 | 06:21:39.778 | -27:14:01.46 |  95.4157 | -27.2337 |     17.7 |   198.0 |   180.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2017fzw'] |
|       UGC02491 | 03:01:53.852 | +35:43:59.38 |  45.4744 |  35.7332 |     18.7 |   132.0 |   108.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2003hw'] |
|        NGC1302 | 03:19:51.215 | -26:03:38.23 |  49.9634 | -26.0606 |     20.0 |   240.0 |   240.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                         ['SN 2003if'] |
|        NGC1241 | 03:11:14.599 | -08:55:19.70 |  47.8108 |  -8.9221 |     56.0 |     2.4 |     1.5 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2019xxd'] |
|       UGC02685 | 03:20:51.791 | +38:15:14.56 |  50.2158 |   38.254 |     48.8 |   132.0 |   102.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                            ['2010ln'] |
|        NGC1385 | 03:37:28.301 | -24:30:04.68 |  54.3679 | -24.5013 |     19.0 |     2.5 |     2.0 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2020pju'] |
|        NGC1069 | 02:42:59.801 | -08:17:22.20 |  40.7492 |  -8.2895 |    134.0 |     1.0 |     0.7 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2023wtd'] |
|    KUG0232-079 | 02:34:48.401 | -07:41:00.90 |  38.7017 |  -7.6836 |     93.0 |     0.9 |     0.8 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['SN 2024uns'] |
|       PGC07210 | 01:55:51.300 | -09:58:00.50 |  28.9638 |  -9.9668 |    115.0 |     0.9 |     0.7 |              1 |      3.0 |                                                                                                                                                                                                                                                                                                                                                                                                        ['AT 2021wft'] |
