|         obj |           ra |          dec |  dist |  ebv | muvmag | maxaxis | minaxis | priority |      note | exptime | filter | count | binning | num_transients |                                                                                                                        transients |
|     NGC3294 | 10:36:16.236 | +37:19:28.63 |  30.0 | 0.02 | -18.43 |     2.3 |     1.4 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC3344 | 10:43:31.116 | +24:55:19.74 |  20.0 | 0.03 | -19.42 |     7.1 |     6.5 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC3367 | 10:46:34.992 | +13:45:02.81 |  44.0 | 0.03 | -19.84 |     2.9 |     1.7 |      1.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC3359 | 10:46:36.792 | +63:13:25.10 |  18.0 | 0.01 | -18.61 |     4.7 |     2.0 |      1.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC3445 | 10:54:35.496 | +56:59:26.59 |  32.0 | 0.01 | -18.57 |     1.5 |     1.2 |      1.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC3629 | 11:20:31.776 | +26:57:47.84 |  38.0 | 0.02 | -18.55 |     2.3 |     1.6 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              3 |                                                                                        ['AT 2020ild', 'AT 2020dbf', 'AT 2020ayx'] |
|     NGC3646 | 11:21:43.092 | +20:10:11.10 |  44.0 | 0.02 | -19.47 |     3.9 |     2.2 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              4 |                                                                           ['SN 2021abqs', 'SN 2020abqw', 'SN 1999cd', 'SN 1989N'] |
|     NGC3938 | 11:52:49.368 | +44:07:14.88 |  19.0 | 0.01 | -18.87 |     5.4 |     4.9 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              7 |                                        ['AT 2025naw', 'SN 2022xlp', 'AT 2022ckk', 'SN 2017ein', 'SN 2005ay', 'SN 1964L', '1961U'] |
|     NGC4030 | 12:00:23.592 | -01:06:00.00 |  21.0 | 0.03 | -18.66 |     2.7 |     2.4 |      1.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                        ['AT 2016jb', 'SN 2007aa'] |
|     NGC4038 | 12:01:52.992 | -18:52:09.91 |  22.0 | 0.05 | -19.24 |     8.0 |     8.0 |      1.0 |   +N,4039 | 120,120 |    g,r |   5,5 |     1,1 |              5 |                                                                         ['SN 2013dk', 'SN 2007sr', 'SN 2004gt', '1974E', '1921A'] |
