|         obj |           ra |          dec |  dist |  ebv | muvmag | maxaxis | minaxis | priority |      note | exptime | filter | count | binning | num_transients |                                                                                                                        transients |
|  AM0644-741 | 06:43:04.392 | -74:14:31.42 |  94.0 | 0.14 | -20.18 |     1.5 |     1.0 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                   ['SN 2020aakp'] |
| ESO034-G013 | 06:43:47.400 | -73:40:31.40 |  86.0 | 0.14 | -19.33 |     0.8 |     0.5 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|    UGC04056 | 07:51:35.592 | +42:52:48.29 | 140.0 | 0.05 |  -19.2 |     0.9 |     0.5 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['AT 2018lsi'] |
|     NGC2600 | 08:34:45.096 | +52:42:56.48 | 195.0 | 0.04 | -19.44 |     1.1 |     0.5 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC2857 | 09:24:37.704 | +49:21:25.42 |  73.0 | 0.02 | -19.37 |     1.9 |     1.0 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                       ['SN 2020unm', 'SN 2012fg'] |
|    UGC05013 | 09:26:16.800 | +61:22:54.19 | 164.0 | 0.03 | -19.14 |     1.0 |     0.5 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|    UGC05077 | 09:32:50.688 | +59:44:41.28 | 174.0 | 0.03 | -19.06 |     0.5 |     0.4 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC2916 | 09:34:57.600 | +21:42:18.90 |  54.0 | 0.03 |  -19.0 |     2.2 |     1.2 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                       ['AT 2016bgr', 'SN 1998ar'] |
|     NGC2936 | 09:37:44.088 | +02:45:39.30 | 100.0 | 0.03 |  -19.4 |     1.6 |     0.8 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|    UGC05715 | 10:31:35.208 | +00:28:31.40 | 122.0 | 0.06 | -19.27 |     1.0 |     0.6 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                     ['AT 2022kk'] |
|    UGC05886 | 10:46:51.504 | -01:23:29.40 | 162.0 | 0.04 | -20.23 |     0.8 |     0.5 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              4 |                                                                             ['AT 2024tlg', 'SN 2024hw', 'SN 2013bw', 'AT 2000gp'] |
|      IC0671 | 11:07:31.608 | +00:46:59.20 | 169.0 | 0.04 | -19.35 |     1.5 |     1.0 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['AT 2017jev'] |
|     NGC3662 | 11:23:46.704 | -01:06:09.00 |  80.0 | 0.05 | -19.03 |     1.4 |     1.0 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                       ['AT 2017kfl', 'SN 2015bd'] |
|    UGC06697 | 11:43:49.104 | +19:58:06.20 |  91.0 | 0.02 | -19.88 |     1.4 |     0.3 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              4 |                                                                            ['AT 2024aghh', 'AT 2019lwb', 'SN 2006oq', 'SN 1986C'] |
|     NGC3861 | 11:45:03.912 | +19:58:25.10 |  91.0 | 0.03 | -19.36 |     1.0 |     0.7 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                       ['AT 2022pjj', 'SN 2014aa'] |
|     NGC4231 | 12:16:48.912 | +47:27:26.89 | 109.0 | 0.02 | -19.17 |     0.7 |     0.6 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              3 |                                                                                       ['AT 2025ftq', 'AT 2024aiai', 'AT 2024qsj'] |
|    UGC08041 | 12:55:15.610 | +00:05:59.35 |  15.0 | 0.02 | -99.99 |     1.2 |     0.6 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                        ['AT 2019bja', 'SN 2016X'] |
|      IC4229 | 13:22:26.088 | -02:25:05.80 | 100.0 | 0.03 | -19.33 |     1.0 |     0.5 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              3 |                                                                                           ['AT 2019hve', 'SN 2002I', 'SN 2001ae'] |
|    UGC09120 | 14:15:12.312 | +04:49:26.90 |  83.0 | 0.03 | -19.22 |     1.2 |     0.7 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|    UGC09140 | 14:17:21.096 | +01:07:52.40 | 231.0 | 0.04 | -19.27 |     0.5 |     0.2 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['AT 2025oln'] |
|     NGC5619 | 14:27:18.192 | +04:48:10.20 | 121.0 | 0.03 | -19.28 |     1.9 |     1.0 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                      ['AT 2025mfa', 'AT 2024tgb'] |
|      IC1063 | 14:52:10.992 | +04:40:55.40 | 201.0 | 0.04 | -20.17 |     0.9 |     0.6 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['AT 2023oku'] |
|   IRAS15250 | 15:26:59.400 | +35:58:37.52 | 239.0 | 0.02 | -19.38 |     0.2 |     0.2 |      2.0 |   +N,3609 | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['SN 2019nap'] |
|    UGC09953 | 15:39:39.408 | +03:11:56.50 | 146.0 | 0.06 | -19.56 |     1.0 |     0.5 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['SN 2022poy'] |
|    UGC10153 | 16:03:19.512 | +20:38:12.80 | 178.0 | 0.07 | -19.56 |     0.9 |     0.6 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              3 |                                                                                       ['AT 2023hjv', 'AT 2021ahuq', 'AT 2021zqy'] |
|     NGC6052 | 16:05:12.912 | +20:32:31.99 |  70.0 | 0.08 | -19.97 |    0.87 |     0.6 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                        ['1982aa'] |
| CGCG023-019 | 16:10:14.592 | +01:03:20.50 | 121.0 | 0.13 | -19.22 |     1.2 |     0.8 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                      ['SN 2024opz', 'AT 2020mip'] |
|     NGC6090 | 16:11:40.704 | +52:27:24.01 | 129.0 | 0.02 | -20.34 |     1.7 |     0.7 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              3 |                                                                                         ['SN 2023eoc', 'AT 2021uvk', 'SN 2008cl'] |
|    UGC10420 | 16:29:51.000 | +39:45:59.40 | 138.0 | 0.01 | -19.83 |     0.7 |     0.4 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                     ['SN 1997cq'] |
|      IC1222 | 16:35:09.096 | +46:12:51.01 | 136.0 | 0.02 | -19.95 |     1.4 |     0.6 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                       ['SN 2020enm', 'SN 2001dq'] |
|      Mrk501 | 16:53:52.200 | +39:45:36.61 | 148.0 | 0.02 | -20.79 |     0.9 |     0.8 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['AT 2018ctk'] |
|    UGC10651 | 16:59:44.088 | +42:32:22.38 | 121.0 | 0.03 |  -19.2 |     1.0 |     0.9 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['SN 2021huy'] |
|    UGC10842 | 17:24:52.104 | +28:04:41.81 | 208.0 | 0.05 | -19.22 |     0.9 |     0.4 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|    NGC6845A | 20:00:58.392 | -47:04:12.90 |  90.0 | 0.05 | -19.77 |     3.6 |     1.6 |      2.0 |     3gals | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                     ['SN 2008da'] |
|     NGC6941 | 20:36:23.496 | -04:37:07.50 |  89.0 | 0.06 | -19.26 |     1.7 |     1.3 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|    PGC65328 | 20:45:41.208 | -04:57:00.40 | 123.0 | 0.05 | -19.07 |     1.0 |     0.5 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                     ['SN 2002df'] |
|     NGC7279 | 22:27:12.696 | -35:08:25.62 | 127.0 | 0.01 | -19.62 |     0.9 |     0.4 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
| PKS2225-308 | 22:27:54.408 | -30:34:31.80 | 247.0 | 0.01 | -19.19 |     1.0 |     0.9 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC7343 | 22:38:37.896 | +34:04:17.22 | 109.0 | 0.07 | -19.28 |     1.0 |     0.6 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                      ['SN 1974J'] |
|    UGC12134 | 22:39:37.488 | +11:46:11.60 | 106.0 | 0.05 | -19.12 |     1.2 |     0.7 |      2.0 |   NGC7353 | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                     ['SN 2006ea'] |
|     NGC7348 | 22:40:36.288 | +11:54:22.39 | 105.0 | 0.05 | -19.31 |     0.8 |     0.5 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
| ESO346-G006 | 22:52:39.312 | -40:19:49.30 | 137.0 | 0.01 | -19.23 |     0.6 |     0.5 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
| ESO534-G032 | 22:56:44.904 | -24:57:09.11 | 129.0 | 0.03 | -19.01 |     1.5 |     0.6 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|    UGC12285 | 22:59:26.688 | +12:42:54.40 | 208.0 | 0.16 |  -19.7 |     0.6 |     0.4 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              3 |                                                                                         ['AT 2025dk', 'AT 2024pud', 'AT 2023xrq'] |
|     NGC7469 | 23:03:15.600 | +08:52:26.40 |  71.0 | 0.07 | -20.22 |     0.9 |     0.6 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              4 |                                                                                ['AT 2017glg', 'SN 2011io', 'SN 2008ec', '2000ft'] |
| ESO469-G012 | 23:07:06.792 | -28:36:43.70 | 137.0 | 0.03 |  -19.1 |     1.0 |     0.5 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC7645 | 23:23:47.304 | -29:23:16.91 |  97.0 | 0.03 |  -19.6 |     1.2 |     0.9 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                        ['2010kx'] |
|     NGC7673 | 23:27:41.112 | +23:35:20.22 |  50.0 | 0.04 | -19.43 |     0.9 |     0.6 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                     ['SN 2014ce'] |
|     NGC7674 | 23:27:56.688 | +08:46:44.50 | 124.0 | 0.06 |  -20.1 |     0.9 |     0.8 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              4 |                                                                              ['SN 2022mhe', 'SN 2011hb', 'SN 2011ee', 'SN 2000A'] |
|   IRAS23365 | 23:39:01.296 | +36:21:08.71 | 278.0 | 0.11 | -19.26 |     0.3 |     0.2 |      2.0 |   +N,3604 | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC7769 | 23:51:04.008 | +20:09:01.51 |  61.0 | 0.07 | -19.59 |     1.6 |     1.3 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              6 |                                             ['SN 2022aedu', 'SN 2022mxv', 'SN 2021aexi', 'AT 2019ijz', 'SN 2019iex', 'SN 2003hg'] |
