phase,mag_template,is_extrapolated,native_phase_min,native_phase_max,t_peak_native,mag_peak_native,model_name,band,magsys
-30.0,451.8288776768502,True,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-29.0,402.5466491213317,True,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-28.0,353.26442056581345,True,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-27.0,303.9821920102952,True,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-26.0,254.69996345477693,True,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-25.0,205.41773489925868,True,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-24.0,156.1355063437402,True,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-23.0,106.85327778822193,True,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-22.0,57.57104923270367,True,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-21.0,8.943818340792697,False,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-20.0,5.463075460446761,False,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-19.0,4.2221377544398075,False,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-18.0,3.437291658416449,False,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-17.0,2.8614528730446707,False,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-16.0,2.407238820666144,False,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-15.0,2.031105089943902,False,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-14.0,1.710918389200231,False,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-13.0,1.4317412260713318,False,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-12.0,1.1847036042682524,False,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-11.0,0.9649322914711899,False,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-10.0,0.7729313805816792,False,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
-9.0,0.6084921581175207,False,-21.823364672934588,83.17663532706541,1.8233646729345878,0.02780636805417534,hsiao,bessellv,ab
