target_id,target_name,target_type,target_ra,target_dec,target_date,target_mag,target_filter,matched_file,matched_date,matched_ra,matched_dec,matched_tile,sep_arcsec,time_delta
183966,AT 2025ray,,18:47:40.610,-66:19:36.23,2025-07-13 14:28:45.120,18.63,L-GOTO,/lyman/data1/processed_1x1_gain2750/T01701/7DT01/i/calib_7DT01_T01701_20250711_020120_i_100.fits,2025-07-11 02:01:20,281.858,-66.164,T01701,592.5160869477515,-2.5190407407407407
183966,AT 2025ray,,18:47:40.610,-66:19:36.23,2025-07-13 14:28:45.120,18.63,L-GOTO,/lyman/data1/processed_1x1_gain2750/T01701/7DT01/i/calib_7DT01_T01701_20250711_015932_i_100.fits,2025-07-11 01:59:32,281.857,-66.164,T01701,592.7350582337156,-2.5202907407407404
183966,AT 2025ray,,18:47:40.610,-66:19:36.23,2025-07-13 14:28:45.120,18.63,L-GOTO,/lyman/data1/processed_1x1_gain2750/T01701/7DT01/i/calib_7DT01_T01701_20250711_020308_i_100.fits,2025-07-11 02:03:08,281.858,-66.163,T01701,596.075968866156,-2.517790740740741
183966,AT 2025ray,,18:47:40.610,-66:19:36.23,2025-07-13 14:28:45.120,18.63,L-GOTO,/lyman/data1/processed_1x1_gain2750/T01701/7DT01/r/calib_7DT01_T01701_20250711_015359_r_100.fits,2025-07-11 01:53:59,281.854,-66.164,T01701,593.412750326883,-2.524144907407407
183966,AT 2025ray,,18:47:40.610,-66:19:36.23,2025-07-13 14:28:45.120,18.63,L-GOTO,/lyman/data1/processed_1x1_gain2750/T01701/7DT01/r/calib_7DT01_T01701_20250711_015210_r_100.fits,2025-07-11 01:52:10,281.853,-66.165,T01701,590.0929344540338,-2.525406481481481
183966,AT 2025ray,,18:47:40.610,-66:19:36.23,2025-07-13 14:28:45.120,18.63,L-GOTO,/lyman/data1/processed_1x1_gain2750/T01701/7DT01/r/calib_7DT01_T01701_20250711_015547_r_100.fits,2025-07-11 01:55:47,281.855,-66.164,T01701,593.1833938494242,-2.5228949074074074
183966,AT 2025ray,,18:47:40.610,-66:19:36.23,2025-07-13 14:28:45.120,18.63,L-GOTO,/lyman/data1/processed_1x1_gain2750/T01701/7DT07/m525/calib_7DT07_T01701_20250711_015857_m525_100.fits,2025-07-11 01:58:57,281.733,-66.224,T01701,457.7303913102317,-2.5206958333333334
183966,AT 2025ray,,18:47:40.610,-66:19:36.23,2025-07-13 14:28:45.120,18.63,L-GOTO,/lyman/data1/processed_1x1_gain2750/T01701/7DT07/m525/calib_7DT07_T01701_20250711_020227_m525_100.fits,2025-07-11 02:02:27,281.734,-66.223,T01701,459.80049036670357,-2.5182652777777776
183966,AT 2025ray,,18:47:40.610,-66:19:36.23,2025-07-13 14:28:45.120,18.63,L-GOTO,/lyman/data1/processed_1x1_gain2750/T01701/7DT07/m525/calib_7DT07_T01701_20250711_020042_m525_100.fits,2025-07-11 02:00:42,281.733,-66.224,T01701,457.7303913102317,-2.5194805555555555
183966,AT 2025ray,,18:47:40.610,-66:19:36.23,2025-07-13 14:28:45.120,18.63,L-GOTO,/lyman/data1/processed_1x1_gain2750/T01701/7DT07/m650/calib_7DT07_T01701_20250711_015343_m650_100.fits,2025-07-11 01:53:43,281.73,-66.224,T01701,460.30414943351354,-2.5243300925925927
183966,AT 2025ray,,18:47:40.610,-66:19:36.23,2025-07-13 14:28:45.120,18.63,L-GOTO,/lyman/data1/processed_1x1_gain2750/T01701/7DT07/m650/calib_7DT07_T01701_20250711_015158_m650_100.fits,2025-07-11 01:51:58,281.729,-66.224,T01701,461.16797516479124,-2.5255453703703705
183966,AT 2025ray,,18:47:40.610,-66:19:36.23,2025-07-13 14:28:45.120,18.63,L-GOTO,/lyman/data1/processed_1x1_gain2750/T01701/7DT07/m650/calib_7DT07_T01701_20250711_015528_m650_100.fits,2025-07-11 01:55:28,281.731,-66.224,T01701,459.44326582312715,-2.523114814814815
