"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"98599","AT 2022ee","09:56:04.070","+69:01:34.30","","","M81","","XOSS","XOSS","","XOSS","XM62MZ","Other - Other","","1","1","","20","Clear-","2022-01-08 14:12:26.208","Mi Zhang","","","2022TNSTR..66....1Z","","",""
"71802","AT 2020aazg","09:55:47.180","+69:04:44.00","","","M81","","ISSP","ISSP","","ISSP","OMB-PNV13","Other - Other","","1","1","","19","Clear-","2020-11-26 03:14:35.000","Raffaele Belligoli","","","2020TNSTR3571....1B","","",""
"71605","AT 2020aarv","09:55:40.440","+69:03:24.08","","","M81","","XOSS, GaiaAlerts","XOSS, GaiaAlerts","","GaiaAlerts, XOSS","XM46MZ","Gaia - Gaia-photometric, Other - Other","","1","1","","20.1","Clear-","2020-11-21 23:05:42.000","Mi Zhang","","","2020TNSTR3531....1Z","","",""
"55974","AT 2020ely","09:55:54.810","+69:03:10.20","","","M81","","XOSS","XOSS","","XOSS","XMr9ZX","Other - Other","","1","1","","19.5","r-Sloan","2020-03-14 14:33:41.000","Mi Zhang","","","2020TNSTR.801....1G","","",""
"53453","AT 2020bmf","09:55:48.420","+69:07:32.50","","","M81","","XOSS","XOSS","","XOSS","XM25MZ","Other - Other","","1","1","","19.8","Clear-","2020-01-31 01:11:42.000","Mi Zhang","","","2020TNSTR.340....1G","","",""
"36343","AT 2019dlz","09:55:51.000","+69:02:32.30","","","M81","","XOSS","XOSS","","XOSS","XM10MZ","Other - Other","","1","1","","19.8","Clear-","2019-04-14 16:03:43.000","Mi Zhang","","","2019TNSTR.572....1G","","",""
"25830","AT 2018asx","09:55:52.690","+68:58:40.90","","","M81","","XOSS","XOSS","","XOSS","XMr5ZX","Other - Other","","1","1","","20.6","Clear-","2018-04-09 15:05:10.000","Zhijian Xu","","","2018TNSTR.473....1X","","",""
"25738","AT 2018apj","09:55:31.940","+69:09:14.70","","","M81","","XOSS","XOSS","","XOSS","XMr4ZX","Other - Other","","1","1","","20.4","Clear-","2018-04-02 14:46:57.000","Zhijian Xu","","","2018TNSTR.431....1X","","",""
"25604","AT 2018akh","09:55:13.400","+69:00:47.80","","","M81","","XOSS","XOSS","","XOSS","XMr3ZX","Other - Other","","1","1","","21.2","Clear-","2018-03-20 16:53:10.000","Zhijian Xu","","","2018TNSTR.379....1X","","",""
"25357","AT 2018aba","09:55:36.070","+69:02:14.10","","","M81","","XOSS","XOSS","","XOSS","XM02MZ","Other - Other","","1","1","","20.8","Clear-","2018-03-06 15:07:18.000","Zhijian Xu","","","2018TNSTR.312....1G","","",""
"25246","AT 2018xb","09:54:52.360","+69:04:08.50","","","M81","","XOSS","XOSS","","XOSS","XMq9ZX","Other - Other","","1","1","","20","Clear-","2018-02-19 18:02:06.000","Zhijian Xu","","","2018TNSTR.246....1X","","",""
"22500","AT 2017gyc","09:55:35.810","+69:04:22.62","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia17cjg","Gaia - Gaia-photometric","","1","1","","18.03","G-Gaia","2017-09-18 11:19:40.000","Gaia_Bot1","","","2017TNSTR1040....1D","","",""
"19926","AT 2017dfw","09:56:08.379","+68:56:33.93","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17cko","PS1 - GPC1","","1","1","","20.4","i-Sloan","2017-04-07 06:08:38.000","PS1_Bot1","","","2017TNSTR.455....1C","","",""
"19814","AT 2017dbo","09:55:25.435","+69:05:23.66","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17cgn","PS1 - GPC1","","1","1","","20.06","i-Sloan","2017-04-07 06:46:04.000","PS1_Bot1","","","2017TNSTR.438....1C","","",""
"18707","AT 2017blf","09:56:31.360","+69:07:29.40","","","M81","","ISSP","ISSP","","ISSP","NGC3031","Other - Other","","1","1","","19.3","Clear-","2017-02-25 19:45:51.000","Raffaele Belligoli","","","2017TNSTR.250....1B","","",""
"18362","AT 2017axz","09:55:36.180","+69:06:21.00","","","M81","","ISSP","ISSP","","ISSP","","Other - Other","","1","1","","19.3","Clear-","2017-02-19 22:05:36.000","Raffaele Belligoli","","","2017TNSTR.215....1F","","",""
"950","SN 1993J","09:55:25.001","+69:01:13.01","SN IIb","","NGC 3031        ","","","","","","","","","0","1","","10.2","","1993-03-28 00:00:00.000","","[Discoverer=Garcia; DiscoveryRef=IAUC 5731; PositionRef=IAUC 5731; Orig Type=IIb  ]","","","","",""
