"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"157501","AT 2024phl","10:16:53.850","+73:24:03.20","","","","","MASTER","MASTER","","MASTER","MASTER OT J101653.85+732403.2","Other - Other","","1","1","","12.6","Clear-","2024-07-10 14:54:44.640","MASTER","","","2024TNSTR2378....1K","","",""
"80503","SN 2021hpr","10:16:38.620","+73:24:01.80","SN Ia","0.009346","NGC3147","","ATLAS, ZTF, Fink, YSE, GaiaAlerts","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","Padova-Asiago, ZTF, None, PSH","ATLAS, GaiaAlerts, Pan-STARRS, ZTF","","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, Other - Other, P48 - ZTF-Cam, PS1 - GPC1","Ekar - AFOSC, LT - SPRAT, Other - Other","1","1","","17.7","Clear-","2021-04-02 10:46:28.000","Koichi Itagaki","","","2021TNSTR.998....1I","2021TNSCR1031....1T, 2021TNSCR1051....1P, 2021TNSCR1048....1L, 2021TNSCR1100....1R, 2021TNSCR1307....1G","",""
"74629","AT 2021gf","10:16:56.640","+73:23:52.80","","","","","IMSNG","ZTF","","ZTF","IMSNG21a","Other - Other","","1","1","","19.3","B-Johnson","2021-01-03 09:20:10.000","Paek Gregory SungHak Paek","","","2021TNSTR..42....1P","","",""
"74552","SN 2021do","10:16:56.522","+73:23:50.93","SN Ic","0.009346","","","ZTF, Pan-STARRS, Fink, YSE, ATLAS","ZTF, Pan-STARRS, ATLAS","None","ATLAS, Pan-STARRS, ZTF","ZTF21aaaubig","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","CMO-2.5m - TDS","1","1","","20","g-ZTF","2021-01-02 10:53:45.600","ZTF_Bot1","","","2021TNSTR..33....1F","2021TNSCR..51....1V","",""
"4756"," 2008fv","10:16:57.281","+73:24:36.40","NA/Unknown","","NGC 3147        ","","","","","","","","","0","1","","16.5","","2008-09-27 00:00:00.000","","[Discoverer=Itagaki; DiscoveryRef=CBET 1520; PositionRef=CBET 1520; Orig Type=Unknown]","","","","",""
"3646","SN 2006gi","10:16:46.759","+73:26:26.41","SN Ib","","NGC 3147        ","","","","","","","","","0","1","","16.3","","2006-09-18 00:00:00.000","","[Discoverer=Itagaki; DiscoveryRef=CBET 630; PositionRef=CBET  630; Orig Type=Ib   ]","","","","",""
"1206","SN 1997bq","10:17:05.330","+73:23:02.11","SN Ia","","NGC 3147        ","","","","","","","","","0","1","","16.1","","1997-04-07 00:00:00.000","","[Discoverer=Laurie; Zissell; DiscoveryRef=IAUC 6616; PositionRef=IAUC 6616; Orig Type=Ia   ]","","","","",""
"411"," 1972H","10:17:00.400","+73:24:39.00","NA/Unknown","","NGC 3147        ","","","","","","","","","0","1","","14.9","","1972-08-08 00:00:00.000","","[Discoverer=Goranskij; DiscoveryRef=IAUC 2431; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org","","","","",""
